name,email,description,website
Boston Dynamics,,"Developer of dynamic robots and software for mobility, manipulation, and perception, famous for humanoid Atlas and quadruped Spot robots.",http://www.bostondynamics.com
Figure,,Boston-based robotics startup focused on AI-powered humanoid robots for versatile automation applications.,https://www.figure.com
Cleo Robotics,,Creates autonomous robotic systems for infrastructure inspection and industrial applications using advanced sensing technology.,http://www.cleorobotics.com
Nextera Robotics,,"Designs mobile robots and autonomous systems for various industries, focusing on intelligent robotic solutions.",http://nexterarobotics.com
RISE Robotics,,Develops robotic technologies to improve industrial automation and efficiency in manufacturing.,http://riserobotics.com
"Veo Robotics, Inc.",,Provides AI-powered safety systems that enable human-robot collaboration in manufacturing environments.,https://www.veobot.com
Bluefin Robotics,,"Specializes in autonomous underwater vehicles for defense, oceanography, and industrial applications.",https://gdmissionsystems.com/bluefinrobotics
"RGo Robotics, Inc.",,Develops robotic systems and AI solutions to enhance operational efficiency in logistic and warehouse sectors.,https://www.rgorobotics.ai
Black-I Robotics Inc,,"Builds advanced robots for automation in various industries, focusing on AI integration and robotics innovation.",https://www.blackirobotics.com
MassRobotics,,"Nonprofit innovation hub supporting and accelerating robotics startups through community resources, events, and funding in Boston.",http://www.massrobotics.org
Ascend Robotics,,"Develops advanced robotic solutions for automation, focusing on AI and machine learning integration.",http://ascendrobotics.com
iRobot Corporation,,"Leading developer of consumer robots, including household and military robots that combine smart mapping and AI.",http://www.irobot.com
Vecna Robotics,,Designs autonomous mobile robots and AI solutions for logistics and warehouse automation.,https://www.vecnarobotics.com
Rethink Robotics,,Produces collaborative robots (cobots) designed to work safely alongside people in manufacturing environments.,https://www.rethinkrobotics.com
Neurala,,AI software company offering vision-based deep learning for drones and robots to improve perception and autonomy.,http://www.neurala.com
Locus Robotics,,"Develops autonomous mobile robots that empower warehouse workers to pick faster, improving fulfillment efficiency.",http://www.locusrobotics.com
Symbotic,,Builds advanced robotics systems for supply chain automation and warehouse robotics using AI and automation tech.,https://www.symbotic.com
Berkshire Grey,,Automation and robotic systems provider delivering AI to transform supply chain and logistics operations globally.,http://berkshiregrey.com
Medtronic - Boston Campus,,Medical technology company advancing surgical robotics and AI-driven healthcare solutions from its Boston campus.,https://www.medtronic.com
Code Metal,,Boston startup developing AI software for drone and robot perception to enhance autonomous navigation and operation.,https://www.codemetal.ai
Agilis Robotics,,Focuses on robotic systems and software designed to automate material handling and logistics tasks.,https://agilisrobotics.com
Sea Machines Robotics Inc.,,"Develops autonomous control and navigation technology for maritime vessels, enhancing marine robotics capabilities.",http://www.sea-machines.com
Barrett Technology,,"Engineering company specializing in robotic arms, force-feedback devices, and manipulation technologies.",https://barrett.com
Realtime Robotics,,Creates software for real-time motion planning to enable safe and efficient industrial robot automation.,https://rtr.ai
6 River Systems,,Designs warehouse automation solutions including collaborative mobile robots for order fulfillment and logistics.,https://6river.com
Energid Technologies,,Developer of real-time robot control software enabling complex automation applications across multiple robot types.,https://www.energid.com
